x,Cf,Cf_theory
0.128745,0.000529133,0.000301793
0.129028,0.000527707,0.000301462
0.12931,0.000477993,0.000301132
0.129593,0.000574854,0.000300804
0.129876,0.000439318,0.000300476
0.130158,0.000455168,0.00030015
0.130441,0.000531229,0.000299825
0.130724,0.000592121,0.0002995
0.131006,0.000484742,0.000299177
0.131289,0.000649958,0.000298855
0.131572,0.000461758,0.000298534
0.131854,0.000382133,0.000298213
0.132137,0.000424871,0.000297894
0.132419,0.000552455,0.000297576
0.1325,5.43826e-05,0.000297486
0.132702,0.000429409,0.000297259
0.132985,0.000478366,0.000296943
0.133267,0.000766074,0.000296628
0.13355,0.000655094,0.000296314
0.133833,0.000527483,0.000296001
0.134115,0.000645173,0.000295689
0.134398,0.00053478,0.000295378
